source,language,package,function,n_calls,n_deposits
dataverse,python,pandas,set_option,114,29
dataverse,python,numpy,floor,109,29
dataverse,stata,nnls,svmat2,100,29
dataverse,python,statsmodels,add_constant,94,29
dataverse,r,lubridate,month,94,29
zenodo,python,scipy,minimize,88,29
zenodo,python,scipy,norm,84,29
zenodo,stata,acreg,acreg,882,28
dataverse,python,numpy,eye,493,28
dataverse,python,torch,tensor,390,28
dataverse,stata,did_multiplegt,did_multiplegt,347,28
dataverse,stata,gtools,gquantiles,277,28
dataverse,python,pandas,DataFrame.from_dict,235,28
dataverse,r,here,i_am,220,28
zenodo,python,matplotlib,ylim,216,28
dataverse,stata,fsum,fsum,195,28
dataverse,stata,weakiv,weakiv,164,28
zenodo,python,numpy,vstack,159,28
dataverse,r,sf,st_read,158,28
dataverse,stata,reclink,reclink,103,28
zenodo,python,matplotlib,title,84,28
dataverse,python,scikit-learn,PCA,59,28
dataverse,r,ggrepel,geom_text_repel,49,28
zenodo,python,numpy,repeat,467,27
zenodo,stata,outreg,frmttable,326,27
zenodo,python,numpy,random.choice,150,27
dataverse,r,purrr,map_dfr,137,27
dataverse,r,xtable,print.xtable,128,27
zenodo,python,numpy,cumsum,108,27
dataverse,r,lubridate,ymd,101,27
dataverse,python,scipy,minimize,99,27
zenodo,python,numpy,linalg.inv,97,27
dataverse,python,transformers,AutoModelForSequenceClassification,73,27
dataverse,python,beautifulsoup4,BeautifulSoup,62,27
dataverse,python,requests,get,62,27
zenodo,r,dplyr,mutate,1602,26
dataverse,python,numpy,all,745,26
dataverse,stata,gtools,gstats,580,26
zenodo,r,dplyr,rename,418,26
dataverse,python,numpy,percentile,269,26
zenodo,python,matplotlib,xticks,185,26
dataverse,r,ggplot2,element_blank,178,26
dataverse,r,forcats,fct_relevel,149,26
zenodo,python,numpy,any,144,26
zenodo,python,numpy,append,136,26
dataverse,r,ggplot2,theme_bw,134,26
dataverse,python,matplotlib,text,127,26
dataverse,python,torch,no_grad,123,26
dataverse,stata,logout,logout,107,26
dataverse,python,matplotlib,Line2D,94,26
dataverse,stata,missings,missings,88,26
dataverse,r,forcats,fct_rev,78,26
dataverse,stata,cdfplot,cdfplot,78,26
dataverse,r,plyr,rbind.fill,76,26
dataverse,python,transformers,Trainer,62,26
dataverse,python,transformers,TrainingArguments,61,26
dataverse,stata,weakivtest,weakivtest,263,25
zenodo,stata,texsave,texsave,156,25
zenodo,python,numpy,eye,138,25
dataverse,python,numpy,minimum,119,25
dataverse,python,numpy,linalg.inv,115,25
zenodo,python,numpy,random.normal,114,25
zenodo,r,rstudioapi,getActiveDocumentContext,76,25
dataverse,python,nltk,word_tokenize,65,25
dataverse,python,seaborn,heatmap,62,25
dataverse,r,tibble,as_tibble,62,25
dataverse,python,numpy,load,611,24
dataverse,python,pandas,read_parquet,361,24
dataverse,python,numpy,zeros_like,282,24
zenodo,python,numpy,column_stack,171,24
zenodo,stata,gtools,greshape,160,24
zenodo,python,numpy,sort,145,24
zenodo,python,numpy,tile,140,24
dataverse,stata,plausexog,plausexog,98,24
zenodo,python,statsmodels,OLS,92,24
zenodo,python,tqdm,tqdm,88,24
dataverse,r,ggplot2,geom_point,77,24
dataverse,r,forcats,fct_reorder,70,24
dataverse,python,matplotlib,rcParams.update,63,24
dataverse,python,scikit-learn,GridSearchCV,57,24
zenodo,stata,texdoc,texdoc,615,23
dataverse,python,pandas,date_range,599,23
dataverse,stata,gllamm,gllamm,292,23
dataverse,python,numpy,var,242,23
dataverse,stata,listtab,listtab,192,23
zenodo,python,matplotlib,xlim,179,23
dataverse,r,dplyr,mutate_at,172,23
dataverse,python,pandas,qcut,145,23
dataverse,stata,sensemakr,sensemakr,121,23
dataverse,r,remotes,install_version,111,23
dataverse,python,numpy,argmin,104,23
dataverse,python,matplotlib,axvline,79,23
dataverse,stata,distplot,distplot,77,23
dataverse,r,stringr,str_extract,48,23
dataverse,python,numpy,save,666,22
zenodo,stata,mdesc,mdesc,201,22
dataverse,stata,rwolf,rwolf,178,22
dataverse,r,devtools,install_version,172,22
dataverse,stata,wyoung,wyoung,144,22
dataverse,r,sf,st_as_sf,124,22
dataverse,r,rlang,sym,111,22
dataverse,python,pandas,isnull,104,22
zenodo,python,matplotlib,Line2D,100,22
dataverse,stata,fs,fs,99,22
dataverse,r,stringr,str_wrap,99,22
zenodo,stata,rddensity,rddensity,98,22
dataverse,python,seaborn,color_palette,89,22
zenodo,stata,psacalc,psacalc,87,22
dataverse,python,nltk,download,55,22
dataverse,python,matplotlib,style.use,50,22
dataverse,r,cregg,cj,580,21
dataverse,stata,pdslasso,pdslasso,332,21
dataverse,stata,ftools,fcollapse,264,21
dataverse,stata,gtools,gdistinct,254,21
dataverse,r,cjoint,amce,249,21
zenodo,python,numpy,full,244,21
dataverse,r,dplyr,if_else,227,21
dataverse,r,ggplot2,element_text,195,21
dataverse,python,numpy,linalg.norm,178,21
zenodo,python,numpy,random.uniform,161,21
dataverse,python,numpy,random.uniform,147,21
dataverse,python,scikit-learn,LinearRegression,115,21
dataverse,r,ggplot2,scale_x_continuous,115,21
dataverse,python,numpy,ceil,92,21
dataverse,stata,lgraph,lgraph,86,21
dataverse,r,knitr,include_graphics,83,21
dataverse,python,scikit-learn,Pipeline,66,21
zenodo,stata,balancetable,balancetable,63,21
dataverse,r,scales,label_number,62,21
dataverse,r,texreg,screenreg,61,21
dataverse,r,ggplot2,ggsave,58,21
dataverse,r,readr,write_csv,56,21
dataverse,r,ggplot2,geom_vline,56,21
dataverse,python,matplotlib,subplots_adjust,47,21
dataverse,python,scikit-learn,cosine_similarity,35,21
dataverse,python,ipython,display,34,21
dataverse,stata,corrtex,corrtex,33,21
zenodo,stata,texdoc,tex,2642,20
dataverse,python,numpy,random.rand,922,20
dataverse,stata,gtools,gisid,473,20
zenodo,python,numpy,hstack,298,20
zenodo,python,numpy,isfinite,253,20
zenodo,stata,ereplace,ereplace,189,20
zenodo,stata,grc1leg2,grc1leg2,183,20
dataverse,python,numpy,average,165,20
dataverse,python,numpy,ones_like,156,20
dataverse,python,matplotlib,subplot,138,20
dataverse,stata,univar,univar,131,20
dataverse,stata,astile,astile,116,20
dataverse,python,numpy,quantile,113,20
dataverse,python,pandas,cut,91,20
dataverse,python,matplotlib,axhline,89,20
dataverse,python,geopandas,read_file,88,20
dataverse,r,stringr,str_remove,87,20
dataverse,python,linearmodels,PanelOLS,75,20
dataverse,python,scikit-learn,KFold,69,20
zenodo,python,numpy,std,67,20
dataverse,python,scikit-learn,roc_auc_score,66,20
dataverse,r,reshape2,dcast,65,20
dataverse,r,ggplot2,xlab,62,20
dataverse,python,matplotlib,hist,52,20
dataverse,r,dplyr,row_number,49,20
dataverse,stata,stop,STOP,47,20
dataverse,r,dplyr,full_join,40,20
dataverse,python,scikit-learn,MultinomialNB,31,20
zenodo,python,geopandas,read_file,630,19
zenodo,r,dplyr,summarise,543,19
zenodo,r,dplyr,group_by,531,19
dataverse,r,plm,vcovHC,325,19
dataverse,stata,diff,diff,254,19
dataverse,stata,gtools,glevelsof,205,19
zenodo,python,matplotlib,yticks,156,19
zenodo,r,pacman,p_load,155,19
dataverse,python,numpy,stack,143,19
dataverse,python,numpy,sign,130,19
dataverse,r,doParallel,registerDoParallel,130,19
zenodo,stata,event_plot,event_plot,122,19
dataverse,r,data.table,rbindlist,109,19
zenodo,python,numpy,linalg.norm,98,19
dataverse,python,matplotlib,Patch,88,19
dataverse,python,joblib,Parallel,87,19
dataverse,stata,rscript,rscript,87,19
zenodo,python,numpy,floor,82,19
dataverse,python,joblib,delayed,80,19
zenodo,python,numpy,minimum,76,19
dataverse,python,seaborn,set_style,76,19
dataverse,r,stringr,str_split,59,19
dataverse,r,stringr,str_trim,54,19
dataverse,python,matplotlib,bar,53,19
dataverse,r,dplyr,all_of,51,19
dataverse,python,torch,DataLoader,49,19
dataverse,python,openai,OpenAI,41,19
dataverse,python,google-api-python-client,drive,39,19
dataverse,r,foreign,read.dta,37,19
dataverse,python,spacy,load,28,19
zenodo,stata,mmerge,mmerge,717,18
dataverse,python,numpy,random.randint,373,18
dataverse,stata,outsum,outsum,346,18
zenodo,stata,gtools,gduplicates,325,18
dataverse,r,stringr,str_squish,312,18
zenodo,r,dplyr,lag,304,18
dataverse,python,numpy,savetxt,210,18
dataverse,stata,tabstatmat,tabstatmat,199,18
dataverse,r,margins,margins,198,18
zenodo,stata,tabout,tabout,181,18
dataverse,stata,qqvalue,qqvalue,154,18
zenodo,stata,xtivreg2,xtivreg2,148,18
zenodo,python,matplotlib,rc,142,18
zenodo,stata,listtab,listtab,129,18
zenodo,python,matplotlib,grid,126,18
zenodo,python,numpy,argsort,114,18
dataverse,python,seaborn,barplot,110,18
dataverse,stata,dsconcat,dsconcat,100,18
zenodo,stata,mat2txt,mat2txt,88,18
dataverse,r,dplyr,slice,88,18
dataverse,r,car,linearHypothesis,78,18
dataverse,python,Pillow,Image,72,18
dataverse,r,dplyr,inner_join,64,18
dataverse,python,matplotlib,cm,60,18
dataverse,python,datasets,Dataset,60,18
dataverse,python,pandas,get_dummies,54,18
dataverse,r,stringr,str_pad,52,18
dataverse,python,scikit-learn,KMeans,51,18
dataverse,r,scales,dollar,50,18
dataverse,stata,dataout,dataout,50,18
dataverse,r,future,plan,47,18
zenodo,python,numpy,outer,40,18
dataverse,python,Shapely,Point,32,18
zenodo,stata,ritest,ritest,349,17
zenodo,python,numpy,power,327,17
dataverse,python,pandas,Timedelta,324,17
dataverse,python,numpy,isfinite,287,17
zenodo,stata,listtex,listtex,240,17
zenodo,stata,did_imputation,did_imputation,233,17
zenodo,python,numpy,all,194,17
dataverse,python,numpy,any,183,17
dataverse,r,tidyr,replace_na,165,17
dataverse,stata,conjoint,conjoint,159,17
dataverse,stata,gtools,gunique,141,17
dataverse,python,numpy,clip,135,17
zenodo,stata,geoinpoly,geoinpoly,123,17
dataverse,stata,gologit2,gologit2,114,17
zenodo,python,numpy,transpose,109,17
dataverse,python,numpy,nanmean,104,17
dataverse,r,ggplot2,labs,93,17
dataverse,python,numba,njit,89,17
dataverse,python,pandas,melt,88,17
zenodo,stata,maptile,maptile,87,17
dataverse,r,ggplot2,margin,87,17
zenodo,stata,psmatch2,psmatch2,84,17
zenodo,python,numba,njit,82,17
zenodo,stata,kountry,kountry,82,17
dataverse,r,scales,alpha,82,17
dataverse,r,dplyr,across,75,17
dataverse,r,survey,svydesign,71,17
zenodo,stata,outtable,outtable,70,17
dataverse,stata,eventdd,eventdd,67,17
zenodo,stata,heatplot,heatplot,65,17
dataverse,r,MASS,polr,63,17
zenodo,python,numpy,argmax,60,17
dataverse,r,ggplot2,ylab,60,17
dataverse,python,seaborn,lineplot,57,17
dataverse,python,scikit-learn,precision_recall_fscore_support,55,17
dataverse,r,mice,complete,55,17
dataverse,python,scikit-learn,SVC,54,17
dataverse,python,matplotlib,DateFormatter,48,17
dataverse,r,tidyr,unnest,48,17
dataverse,python,transformers,pipeline,48,17
dataverse,r,sf,sf_use_s2,46,17
dataverse,r,tidyr,expand,40,17
dataverse,python,nltk,sent_tokenize,33,17
dataverse,python,nltk,WordNetLemmatizer,27,17
dataverse,r,purrr,reduce,26,17
dataverse,r,haven,read_sav,21,17
dataverse,r,plm,lag,710,16
zenodo,stata,ftools,fmerge,346,16
dataverse,r,kableExtra,group_rows,262,16
zenodo,python,pandas,set_option,236,16
dataverse,python,numpy,column_stack,192,16
dataverse,stata,asreg,asreg,183,16
zenodo,python,statsmodels,ols,159,16
zenodo,stata,asdoc,asdoc,137,16
dataverse,r,dplyr,bind_cols,135,16
dataverse,python,numpy,power,131,16
zenodo,python,matplotlib,gca,124,16
dataverse,stata,honestdid,honestdid,104,16
zenodo,python,numpy,percentile,91,16
dataverse,r,ggplot2,geom_text,87,16
dataverse,python,matplotlib,get_cmap,78,16
dataverse,stata,mediation,medsens,78,16
zenodo,python,matplotlib,scatter,77,16
zenodo,python,matplotlib,use,77,16
dataverse,stata,matchit,matchit,77,16
zenodo,python,numpy,random.default_rng,75,16
dataverse,python,torch,softmax,70,16
dataverse,python,scikit-learn,mean_squared_error,67,16
zenodo,python,numpy,reshape,66,16
zenodo,python,numpy,median,65,16
dataverse,r,tidyr,spread,64,16
dataverse,stata,oaxaca,oaxaca,55,16
zenodo,r,haven,read_dta,53,16
zenodo,stata,geonear,geonear,50,16
dataverse,r,mvtnorm,rmvnorm,48,16
zenodo,python,statsmodels,add_constant,45,16
zenodo,python,numpy,ones_like,44,16
dataverse,python,geopandas,GeoDataFrame,44,16
dataverse,r,dplyr,n_distinct,44,16
dataverse,python,sentence-transformers,SentenceTransformer,43,16
dataverse,python,numpy,random.randn,1430,15
zenodo,stata,outreg,outreg,681,15
