ecosystem,package,version,version_source,n_deposits
cran,MatrixModels,0.5-3,description,4
cran,MatrixModels,0.5-0,renv_lock,4
cran,MatrixModels,0.5-2,renv_lock,4
cran,MatrixModels,0.5-1,description,2
cran,MatrixModels,0.5-2,description,2
cran,MatrixModels,0.5-0,description,1
cran,MetBrewer,0.2.0,renv_lock,1
cran,MetBrewer,0.2.0,description,1
cran,MetBrewer,0.1.0,renv_lock,1
cran,Metrics,0.1.4,description,2
cran,Metrics,0.1.4,renv_lock,1
cran,Misconduct,1.0,description,1
cran,ModelMetrics,1.2.2.2,renv_lock,15
cran,ModelMetrics,1.2.2.2,description,5
cran,NLP,0.3-2,renv_lock,3
cran,NLP,0.2-1,renv_lock,3
cran,NLP,0.2-1,description,1
cran,NLP,0.2-0,description,1
cran,NPC,1.1.0,renv_lock,1
cran,OOmisc,1.2,description,1
cran,OOmisc,1.2,renv_lock,1
cran,OpenMx,2.21.11,install,1
cran,OpenStreetMap,0.4.0,renv_lock,1
cran,PDQutils,0.1.6,renv_lock,1
cran,PFCRE,0.1.0,description,1
cran,PLMIX,2.1.1,renv_lock,1
cran,PRROC,1.3.1,renv_lock,3
cran,PRROC,1.4,description,1
cran,PRROC,1.3.1,description,1
cran,PRROC,1.4,renv_lock,1
cran,PanelMatch,2.2.0,install,3
cran,PanelMatch,2.2.0,description,2
cran,PanelMatch,2.0.1,description,1
cran,PanelMatch,3.1.3,renv_lock,1
cran,PanelMatch,2.0.1,renv_lock,1
cran,PanelMatch,3.0.0,renv_lock,1
cran,PanelMatch,2.2.0,renv_lock,1
cran,ParamHelpers,1.14,description,1
cran,ParamHelpers,1.14,renv_lock,1
cran,PlackettLuce,0.4.3,renv_lock,1
cran,QuickJSR,1.1.3,renv_lock,2
cran,QuickJSR,1.6.0,renv_lock,2
cran,QuickJSR,1.0.7,renv_lock,2
cran,QuickJSR,1.8.0,renv_lock,2
cran,QuickJSR,1.7.0,renv_lock,2
cran,QuickJSR,1.3.1,renv_lock,1
cran,QuickJSR,1.0.5,description,1
cran,QuickJSR,1.0.7,description,1
cran,QuickJSR,1.0.6,renv_lock,1
cran,R.cache,0.16.0,renv_lock,3
cran,R.cache,0.16.0,description,2
cran,R.cache,0.17.0,description,1
cran,R.cache,0.17.0,renv_lock,1
cran,R.cache,0.15.0,renv_lock,1
cran,R.cache,0.14.0,description,1
cran,R.matlab,3.7.0,renv_lock,2
cran,R.methodsS3,1.8.2,renv_lock,13
cran,R.methodsS3,1.8.2,description,5
cran,R.methodsS3,1.8.1,description,1
cran,R.methodsS3,1.7.1,renv_lock,1
cran,R.methodsS3,1.8.1,renv_lock,1
cran,R.methodsS3,1.8.2,install,1
cran,R.oo,1.27.1,renv_lock,5
cran,R.oo,1.27.0,renv_lock,3
cran,R.oo,1.26.0,renv_lock,3
cran,R.oo,1.25.0,renv_lock,2
cran,R.oo,1.27.1,description,2
cran,R.oo,1.27.0,description,2
cran,R.oo,1.22.0,renv_lock,1
cran,R.oo,1.25.0,description,1
cran,R.oo,1.27.0,install,1
cran,R.oo,1.24.0,renv_lock,1
cran,R.oo,1.23.0,description,1
cran,R.oo,1.24.0,description,1
cran,R.rsp,0.46.0,renv_lock,1
cran,R.rsp,0.43.2,description,1
cran,R.utils,2.12.3,renv_lock,8
cran,R.utils,2.13.0,renv_lock,5
cran,R.utils,2.12.3,description,2
cran,R.utils,2.13.0,description,2
cran,R.utils,2.11.0,description,1
cran,R.utils,2.12.2,description,1
cran,R.utils,2.11.0,renv_lock,1
cran,R.utils,2.12.3,install,1
cran,R6,2.5.1,renv_lock,68
cran,R6,2.6.1,renv_lock,61
cran,R6,2.5.1,description,20
cran,R6,2.5.0,renv_lock,4
cran,R6,2.6.1,description,4
cran,R6,2.4.1,description,4
cran,R6,2.4.1,renv_lock,3
cran,R6,2.2.2,description,2
cran,R6,2.5.0,description,1
cran,R6,2.6.1,install,1
cran,R6,2.1.3,description,1
cran,R6,2.4.0,renv_lock,1
cran,RANN,2.6.1,renv_lock,1
cran,RANN,2.6.2,description,1
cran,RANN,2.6.1,description,1
cran,RApiSerialize,0.1.4,renv_lock,2
cran,RApiSerialize,0.1.0,renv_lock,1
cran,RCBR,0.5.9,description,1
cran,RColorBrewer,1.1-3,renv_lock,115
cran,RColorBrewer,1.1-3,description,19
cran,RColorBrewer,1.1-2,renv_lock,17
cran,RColorBrewer,1.1-2,description,11
cran,RColorBrewer,1.1-3,install,2
cran,RColorBrewer,1.1.3,install,1
cran,RColorBrewer,1.1.2,install,1
cran,RCurl,1.98-1.5,renv_lock,2
cran,RCurl,1.98-1.3,renv_lock,1
cran,RCurl,1.98-1.14,renv_lock,1
cran,RCurl,1.98-1.19,renv_lock,1
cran,RCurl,1.98-1.14,install,1
cran,RDHonest,0.4.1,description,1
cran,RGISTools,1.0.2,description,1
