package,language,ecosystem,n_deposits,n_files,n_mentions,first_year,last_year,n_deposits_at_risk,share_of_deposits
phoneNum,python,pypi,1,2,2,,,224,0.0045
lookup,python,pypi,1,3,3,,,224,0.0045
SimpleHMM,python,pypi,1,3,3,,,224,0.0045
PyGTK,python,pypi,1,1,1,,,224,0.0045
pango,python,pypi,1,1,1,,,224,0.0045
dependencies,stata,ssc,1,1,1,,,1075,0.0009
ghostscript,python,pypi,1,1,1,,,224,0.0045
xtbreak,stata,ssc,1,3,6,,,1075,0.0009
palettable,python,pypi,1,1,1,,,224,0.0045
xtdpdml,stata,ssc,1,1,1,,,1075,0.0009
sn,r,cran,1,55,102,,,392,0.0026
GAS,r,cran_archive,1,1,1,,,392,0.0026
goftest,r,cran,1,1,2,,,392,0.0026
arm,r,cran,1,1,1,,,392,0.0026
micEconCES,r,cran,1,1,1,,,392,0.0026
researchpy,python,pypi,1,1,1,,,224,0.0045
stopwords,r,cran,1,3,3,,,392,0.0026
violinplot,stata,ssc,1,1,1,,,1075,0.0009
abcrf,r,cran,1,1,1,,,392,0.0026
randomForestExplainer,r,cran,1,1,1,,,392,0.0026
rattle,r,cran,1,1,1,,,392,0.0026
group_id,stata,ssc,1,2,6,,,1075,0.0009
hunspell,r,cran,1,1,1,,,392,0.0026
operator.tools,r,cran,1,2,2,,,392,0.0026
RecordLinkage,r,cran,1,1,1,,,392,0.0026
splagvar,stata,ssc,1,1,1,,,1075,0.0009
main-functions,python,pypi,1,7,11,,,224,0.0045
jaxlib,python,pypi,1,5,5,,,224,0.0045
tensorboardX,python,pypi,1,5,5,,,224,0.0045
helper_functions,python,pypi,1,5,5,,,224,0.0045
ggpmisc,r,cran,1,1,1,,,392,0.0026
Camelot,python,pypi,1,1,1,,,224,0.0045
snap,python,pypi,1,5,5,,,224,0.0045
pandarallel,python,pypi,1,4,4,,,224,0.0045
turicreate,python,pypi,1,2,4,,,224,0.0045
nnmatch,stata,ssc,1,1,1,,,1075,0.0009
dups,stata,ssc,1,1,1,,,1075,0.0009
sdecode,stata,ssc,1,1,2,,,1075,0.0009
bunching,r,cran,1,11,11,,,392,0.0026
uniReg,r,cran,1,5,12,,,392,0.0026
discSurv,r,cran,1,1,1,,,392,0.0026
PropCIs,r,cran,1,1,1,,,392,0.0026
predictrace,r,cran,1,1,1,,,392,0.0026
gender,r,cran,1,1,1,,,392,0.0026
RPushbullet,r,cran,1,1,1,,,392,0.0026
magicfor,r,cran,1,1,1,,,392,0.0026
batch,r,cran,1,1,1,,,392,0.0026
source,python,pypi,1,19,42,,,224,0.0045
pymc,python,pypi,1,1,1,,,224,0.0045
RcppGSL,r,cran,1,6,6,,,392,0.0026
RcppParallel,r,cran,1,6,6,,,392,0.0026
logitnorm,r,cran,1,17,17,,,392,0.0026
constants,python,pypi,1,5,8,,,224,0.0045
dimod,python,pypi,1,1,1,,,224,0.0045
plotmatrix,stata,ssc,1,1,1,,,1075,0.0009
LowRankQP,r,cran,1,1,1,,,392,0.0026
blm,r,cran,1,1,5,,,392,0.0026
rmutil,r,cran,1,1,1,,,392,0.0026
silhouette,stata,ssc,1,1,1,,,1075,0.0009
charlson,stata,ssc,1,2,10,,,1075,0.0009
rngWELL,r,cran,1,1,1,,,392,0.0026
rcsgen,stata,ssc,1,1,2,,,1075,0.0009
glcurve,stata,ssc,1,1,2,,,1075,0.0009
objective,python,pypi,1,3,3,,,224,0.0045
vcemway,stata,ssc,1,4,14,,,1075,0.0009
