type,id,title,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType
dataset,3821567,,DVN/FMVTUF,https://doi.org/10.7910/DVN/FMVTUF,doi,10.7910,/,Harvard Dataverse,2020-04-30,s3://10.7910/DVN/FMVTUF,dataset
dataset,3830147,,DVN/Z66XXP,https://doi.org/10.7910/DVN/Z66XXP,doi,10.7910,/,Harvard Dataverse,2020-05-14,s3://10.7910/DVN/Z66XXP,dataset
dataset,3833933,,DVN/ZWAGXZ,https://doi.org/10.7910/DVN/ZWAGXZ,doi,10.7910,/,Harvard Dataverse,2020-05-13,s3://10.7910/DVN/ZWAGXZ,dataset
dataset,3852770,,DVN/HWWVAX,https://doi.org/10.7910/DVN/HWWVAX,doi,10.7910,/,Harvard Dataverse,2020-05-29,s3://10.7910/DVN/HWWVAX,dataset
dataset,3853335,,DVN/I2XZTY,https://doi.org/10.7910/DVN/I2XZTY,doi,10.7910,/,Harvard Dataverse,2020-06-01,s3://10.7910/DVN/I2XZTY,dataset
dataset,3854045,,DVN/LIVEUK,https://doi.org/10.7910/DVN/LIVEUK,doi,10.7910,/,Harvard Dataverse,2020-06-01,s3://10.7910/DVN/LIVEUK,dataset
dataset,3864806,,DVN/RINGFV,https://doi.org/10.7910/DVN/RINGFV,doi,10.7910,/,Harvard Dataverse,2020-06-07,s3://10.7910/DVN/RINGFV,dataset
dataset,3875283,,DVN/MHLM6J,https://doi.org/10.7910/DVN/MHLM6J,doi,10.7910,/,Harvard Dataverse,2020-06-22,s3://10.7910/DVN/MHLM6J,dataset
dataset,3891315,,DVN/EFXNLX,https://doi.org/10.7910/DVN/EFXNLX,doi,10.7910,/,Harvard Dataverse,2020-06-22,s3://10.7910/DVN/EFXNLX,dataset
dataset,3891321,,DVN/BA2WPD,https://doi.org/10.7910/DVN/BA2WPD,doi,10.7910,/,Harvard Dataverse,2020-06-22,s3://10.7910/DVN/BA2WPD,dataset
dataset,3904670,,DVN/78ZHZH,https://doi.org/10.7910/DVN/78ZHZH,doi,10.7910,/,Harvard Dataverse,2020-06-27,s3://10.7910/DVN/78ZHZH,dataset
dataset,3906773,,DVN/KVTPVX,https://doi.org/10.7910/DVN/KVTPVX,doi,10.7910,/,Harvard Dataverse,2020-06-29,s3://10.7910/DVN/KVTPVX,dataset
dataset,3910595,,DVN/OF2PIH,https://doi.org/10.7910/DVN/OF2PIH,doi,10.7910,/,Harvard Dataverse,2020-07-01,s3://10.7910/DVN/OF2PIH,dataset
dataset,3994464,,DVN/OWOZSD,https://doi.org/10.7910/DVN/OWOZSD,doi,10.7910,/,Harvard Dataverse,2020-08-03,s3://10.7910/DVN/OWOZSD,dataset
dataset,4016242,,DVN/IWLKCW,https://doi.org/10.7910/DVN/IWLKCW,doi,10.7910,/,Harvard Dataverse,2020-08-23,s3://10.7910/DVN/IWLKCW,dataset
dataset,4033826,,DVN/U0ITDX,https://doi.org/10.7910/DVN/U0ITDX,doi,10.7910,/,Harvard Dataverse,2020-08-25,s3://10.7910/DVN/U0ITDX,dataset
dataset,4034570,,DVN/3VQXIM,https://doi.org/10.7910/DVN/3VQXIM,doi,10.7910,/,Harvard Dataverse,2020-08-27,s3://10.7910/DVN/3VQXIM,dataset
dataset,4034894,,DVN/KH0JJR,https://doi.org/10.7910/DVN/KH0JJR,doi,10.7910,/,Harvard Dataverse,2020-08-27,s3://10.7910/DVN/KH0JJR,dataset
dataset,4034977,,DVN/OJQV5O,https://doi.org/10.7910/DVN/OJQV5O,doi,10.7910,/,Harvard Dataverse,2020-08-28,s3://10.7910/DVN/OJQV5O,dataset
dataset,4045487,,DVN/Q7SFJW,https://doi.org/10.7910/DVN/Q7SFJW,doi,10.7910,/,Harvard Dataverse,2020-08-29,s3://10.7910/DVN/Q7SFJW,dataset
dataset,4054983,,DVN/IRUDXK,https://doi.org/10.7910/DVN/IRUDXK,doi,10.7910,/,Harvard Dataverse,2020-09-02,s3://10.7910/DVN/IRUDXK,dataset
dataset,4081597,,DVN/IOX23B,https://doi.org/10.7910/DVN/IOX23B,doi,10.7910,/,Harvard Dataverse,2020-09-20,s3://10.7910/DVN/IOX23B,dataset
dataset,4093285,,DVN/IXOMN4,https://doi.org/10.7910/DVN/IXOMN4,doi,10.7910,/,Harvard Dataverse,2020-09-24,s3://10.7910/DVN/IXOMN4,dataset
dataset,4099983,,DVN/CTWSDT,https://doi.org/10.7910/DVN/CTWSDT,doi,10.7910,/,Harvard Dataverse,2020-10-03,s3://10.7910/DVN/CTWSDT,dataset
dataset,4158225,,DVN/RZVEJ7,https://doi.org/10.7910/DVN/RZVEJ7,doi,10.7910,/,Harvard Dataverse,2020-10-29,s3://10.7910/DVN/RZVEJ7,dataset
dataset,4160080,,DVN/9IZO5I,https://doi.org/10.7910/DVN/9IZO5I,doi,10.7910,/,Harvard Dataverse,2020-11-09,s3://10.7910/DVN/9IZO5I,dataset
dataset,4160946,,DVN/2CD3VZ,https://doi.org/10.7910/DVN/2CD3VZ,doi,10.7910,/,Harvard Dataverse,2020-10-30,s3://10.7910/DVN/2CD3VZ,dataset
dataset,4171560,,DVN/IVLUBU,https://doi.org/10.7910/DVN/IVLUBU,doi,10.7910,/,Harvard Dataverse,2020-11-12,s3://10.7910/DVN/IVLUBU,dataset
dataset,4175670,,DVN/JF3Z7V,https://doi.org/10.7910/DVN/JF3Z7V,doi,10.7910,/,Harvard Dataverse,2020-11-17,s3://10.7910/DVN/JF3Z7V,dataset
dataset,4176608,,DVN/RGZWNJ,https://doi.org/10.7910/DVN/RGZWNJ,doi,10.7910,/,Harvard Dataverse,2020-11-18,s3://10.7910/DVN/RGZWNJ,dataset
dataset,4180095,,DVN/IJIBH3,https://doi.org/10.7910/DVN/IJIBH3,doi,10.7910,/,Harvard Dataverse,2020-11-20,s3://10.7910/DVN/IJIBH3,dataset
