collection_id,source,dataset_id,persistent_id,protocol,authority,identifier,publication_date
restat,dataverse,,https://doi.org/10.7910/DVN/27098,doi,10.7910,DVN/27098,2014-08-19
restat,dataverse,,https://doi.org/10.7910/DVN/29693,doi,10.7910,DVN/29693,2015-03-30
restat,dataverse,,https://doi.org/10.7910/DVN/AMDL12,doi,10.7910,DVN/AMDL12,2012-02-07
restat,dataverse,,https://doi.org/10.7910/DVN/27042,doi,10.7910,DVN/27042,2015-01-23
restat,dataverse,,https://doi.org/10.7910/DVN/29908,doi,10.7910,DVN/29908,2015-04-09
restat,dataverse,,https://doi.org/10.7910/DVN/YJ3D8P,doi,10.7910,DVN/YJ3D8P,2012-06-20
restat,dataverse,,https://doi.org/10.7910/DVN/A9Y8QA,doi,10.7910,DVN/A9Y8QA,2012-12-12
restat,dataverse,,https://doi.org/10.7910/DVN/1AJV3A,doi,10.7910,DVN/1AJV3A,2012-12-12
restat,dataverse,,https://doi.org/10.7910/DVN/L8XQAH,doi,10.7910,DVN/L8XQAH,2012-01-13
restat,dataverse,,https://doi.org/10.7910/DVN/28390,doi,10.7910,DVN/28390,2014-12-19
restat,dataverse,,https://doi.org/10.7910/DVN/24223,doi,10.7910,DVN/24223,2014-01-13
restat,dataverse,,https://doi.org/10.7910/DVN/26954,doi,10.7910,DVN/26954,2014-09-26
restat,dataverse,,https://doi.org/10.7910/DVN/OWLEH3,doi,10.7910,DVN/OWLEH3,2012-10-02
restat,dataverse,,https://doi.org/10.7910/DVN/A0LV0A,doi,10.7910,DVN/A0LV0A,2013-03-14
restat,dataverse,,https://doi.org/10.7910/DVN/29906,doi,10.7910,DVN/29906,2015-04-09
restat,dataverse,,https://doi.org/10.7910/DVN/27249,doi,10.7910,DVN/27249,2014-09-12
restat,dataverse,,https://doi.org/10.7910/DVN/LCEITG,doi,10.7910,DVN/LCEITG,2012-02-01
restat,dataverse,,https://doi.org/10.7910/DVN/I4LUQG,doi,10.7910,DVN/I4LUQG,2017-09-11
restat,dataverse,,https://doi.org/10.7910/DVN/QAGZZ7,doi,10.7910,DVN/QAGZZ7,2019-04-17
restat,dataverse,,https://doi.org/10.7910/DVN/OBOLXQ,doi,10.7910,DVN/OBOLXQ,2021-10-12
restat,dataverse,,https://doi.org/10.7910/DVN/8FOAEF,doi,10.7910,DVN/8FOAEF,2024-09-18
restat,dataverse,,https://doi.org/10.7910/DVN/BFP2IC,doi,10.7910,DVN/BFP2IC,2015-05-29
restat,dataverse,,https://doi.org/10.7910/DVN/NQELML,doi,10.7910,DVN/NQELML,2015-06-24
restat,dataverse,,https://doi.org/10.7910/DVN/RZU4WX,doi,10.7910,DVN/RZU4WX,2017-01-13
restat,dataverse,,https://doi.org/10.7910/DVN/GJB5F1,doi,10.7910,DVN/GJB5F1,2017-02-07
restat,dataverse,,https://doi.org/10.7910/DVN/WIQBCR,doi,10.7910,DVN/WIQBCR,2017-04-07
restat,dataverse,,https://doi.org/10.7910/DVN/ID6SYF,doi,10.7910,DVN/ID6SYF,2017-05-10
restat,dataverse,,https://doi.org/10.7910/DVN/QNKHZQ,doi,10.7910,DVN/QNKHZQ,2017-06-29
restat,dataverse,,https://doi.org/10.7910/DVN/SS0AA5,doi,10.7910,DVN/SS0AA5,2017-05-31
restat,dataverse,,https://doi.org/10.7910/DVN/5JWBXU,doi,10.7910,DVN/5JWBXU,2018-02-23
restat,dataverse,,https://doi.org/10.7910/DVN/H6IPNT,doi,10.7910,DVN/H6IPNT,2018-03-23
restat,dataverse,,https://doi.org/10.7910/DVN/8SATPR,doi,10.7910,DVN/8SATPR,2018-09-26
restat,dataverse,,https://doi.org/10.7910/DVN/T70TLT,doi,10.7910,DVN/T70TLT,2018-05-18
restat,dataverse,,https://doi.org/10.7910/DVN/O7BAYF,doi,10.7910,DVN/O7BAYF,2018-06-28
restat,dataverse,,https://doi.org/10.7910/DVN/021GV6,doi,10.7910,DVN/021GV6,2016-08-24
restat,dataverse,,https://doi.org/10.7910/DVN/JS3AVM,doi,10.7910,DVN/JS3AVM,2016-12-14
restat,dataverse,,https://doi.org/10.7910/DVN/ZRGEPA,doi,10.7910,DVN/ZRGEPA,2017-11-22
restat,dataverse,,https://doi.org/10.7910/DVN/M3YGAI,doi,10.7910,DVN/M3YGAI,2017-10-25
